id,path,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage
45258,/kaggle/input/fashion-product-images-small/images/45258.jpg,1,2,3,3,4,3,3,1
42841,/kaggle/input/fashion-product-images-small/images/42841.jpg,2,2,8,10,9,2,2,1
22198,/kaggle/input/fashion-product-images-small/images/22198.jpg,1,3,5,7,4,1,2,1
29570,/kaggle/input/fashion-product-images-small/images/29570.jpg,1,3,5,7,7,2,2,1
43993,/kaggle/input/fashion-product-images-small/images/43993.jpg,2,4,12,27,14,4,4,1
6628,/kaggle/input/fashion-product-images-small/images/6628.jpg,1,3,5,23,8,2,1,4
54924,/kaggle/input/fashion-product-images-small/images/54924.jpg,1,1,2,24,2,2,2,1
26538,/kaggle/input/fashion-product-images-small/images/26538.jpg,1,3,5,7,17,1,2,1
35913,/kaggle/input/fashion-product-images-small/images/35913.jpg,2,2,8,10,4,2,2,1
49495,/kaggle/input/fashion-product-images-small/images/49495.jpg,1,3,5,7,18,2,2,1
9660,/kaggle/input/fashion-product-images-small/images/9660.jpg,1,1,1,1,14,1,1,1
2288,/kaggle/input/fashion-product-images-small/images/2288.jpg,2,1,1,5,4,1,7,4
23876,/kaggle/input/fashion-product-images-small/images/23876.jpg,1,1,1,15,2,1,1,1
18237,/kaggle/input/fashion-product-images-small/images/18237.jpg,1,1,1,5,17,1,1,1
54118,/kaggle/input/fashion-product-images-small/images/54118.jpg,2,3,5,28,4,3,2,1
2872,/kaggle/input/fashion-product-images-small/images/2872.jpg,2,3,5,28,10,3,5,1
49653,/kaggle/input/fashion-product-images-small/images/49653.jpg,2,1,1,11,6,2,2,1
8574,/kaggle/input/fashion-product-images-small/images/8574.jpg,2,3,10,13,14,1,1,1
16957,/kaggle/input/fashion-product-images-small/images/16957.jpg,1,2,16,29,4,3,3,1
19123,/kaggle/input/fashion-product-images-small/images/19123.jpg,1,3,7,9,3,1,1,1
13419,/kaggle/input/fashion-product-images-small/images/13419.jpg,1,1,1,5,14,2,1,1
17885,/kaggle/input/fashion-product-images-small/images/17885.jpg,1,1,9,30,5,2,3,1
43369,/kaggle/input/fashion-product-images-small/images/43369.jpg,1,3,7,9,4,2,8,1
48781,/kaggle/input/fashion-product-images-small/images/48781.jpg,2,2,13,31,3,2,2,1
44970,/kaggle/input/fashion-product-images-small/images/44970.jpg,1,2,3,3,8,3,3,1
39524,/kaggle/input/fashion-product-images-small/images/39524.jpg,5,2,8,32,19,2,2,1
33822,/kaggle/input/fashion-product-images-small/images/33822.jpg,1,3,5,23,8,2,2,4
58513,/kaggle/input/fashion-product-images-small/images/58513.jpg,2,1,1,11,15,2,2,1
25947,/kaggle/input/fashion-product-images-small/images/25947.jpg,2,2,17,33,10,2,2,1
5865,/kaggle/input/fashion-product-images-small/images/5865.jpg,1,1,1,5,4,2,1,1
39716,/kaggle/input/fashion-product-images-small/images/39716.jpg,2,1,18,34,2,2,2,1
25349,/kaggle/input/fashion-product-images-small/images/25349.jpg,1,1,9,25,17,2,3,1
11940,/kaggle/input/fashion-product-images-small/images/11940.jpg,1,3,10,13,4,2,1,1
55802,/kaggle/input/fashion-product-images-small/images/55802.jpg,2,1,19,35,8,2,4,1
29584,/kaggle/input/fashion-product-images-small/images/29584.jpg,1,1,1,5,4,2,2,1
43967,/kaggle/input/fashion-product-images-small/images/43967.jpg,2,4,12,27,17,4,4,1
28456,/kaggle/input/fashion-product-images-small/images/28456.jpg,2,1,2,36,2,2,2,4
34009,/kaggle/input/fashion-product-images-small/images/34009.jpg,4,1,1,11,4,2,2,1
19311,/kaggle/input/fashion-product-images-small/images/19311.jpg,1,3,5,7,8,1,1,1
42089,/kaggle/input/fashion-product-images-small/images/42089.jpg,1,3,5,23,8,2,2,4
22950,/kaggle/input/fashion-product-images-small/images/22950.jpg,5,2,3,3,4,3,3,1
49461,/kaggle/input/fashion-product-images-small/images/49461.jpg,1,3,5,7,2,2,2,1
8746,/kaggle/input/fashion-product-images-small/images/8746.jpg,5,3,7,9,1,2,5,1
9694,/kaggle/input/fashion-product-images-small/images/9694.jpg,1,1,1,5,8,1,1,1
23882,/kaggle/input/fashion-product-images-small/images/23882.jpg,1,3,5,23,5,1,1,4
34835,/kaggle/input/fashion-product-images-small/images/34835.jpg,1,3,5,23,2,2,2,4
15984,/kaggle/input/fashion-product-images-small/images/15984.jpg,1,1,1,1,20,1,1,1
41268,/kaggle/input/fashion-product-images-small/images/41268.jpg,1,2,20,37,4,2,2,1
11518,/kaggle/input/fashion-product-images-small/images/11518.jpg,2,3,5,28,5,3,5,1
14856,/kaggle/input/fashion-product-images-small/images/14856.jpg,2,2,20,37,9,2,1,1
33648,/kaggle/input/fashion-product-images-small/images/33648.jpg,1,3,10,13,10,2,2,1
59297,/kaggle/input/fashion-product-images-small/images/59297.jpg,1,1,1,1,8,1,2,1
28032,/kaggle/input/fashion-product-images-small/images/28032.jpg,1,1,9,25,8,2,3,1
27846,/kaggle/input/fashion-product-images-small/images/27846.jpg,2,1,1,38,21,2,2,3
26994,/kaggle/input/fashion-product-images-small/images/26994.jpg,2,1,2,2,4,2,2,1
49839,/kaggle/input/fashion-product-images-small/images/49839.jpg,2,3,7,9,17,3,2,1
31923,/kaggle/input/fashion-product-images-small/images/31923.jpg,2,2,8,10,2,2,2,1
2618,/kaggle/input/fashion-product-images-small/images/2618.jpg,2,3,5,20,3,4,7,1
54588,/kaggle/input/fashion-product-images-small/images/54588.jpg,2,1,1,21,6,2,2,2
49005,/kaggle/input/fashion-product-images-small/images/49005.jpg,2,2,13,39,3,2,2,1
8322,/kaggle/input/fashion-product-images-small/images/8322.jpg,3,1,1,5,2,1,1,1
13841,/kaggle/input/fashion-product-images-small/images/13841.jpg,5,2,3,3,8,3,3,1
28200,/kaggle/input/fashion-product-images-small/images/28200.jpg,1,2,16,29,13,3,3,1
12993,/kaggle/input/fashion-product-images-small/images/12993.jpg,5,3,5,23,4,1,1,4
7158,/kaggle/input/fashion-product-images-small/images/7158.jpg,1,1,1,1,6,1,1,1
18495,/kaggle/input/fashion-product-images-small/images/18495.jpg,1,3,10,13,8,1,1,1
8110,/kaggle/input/fashion-product-images-small/images/8110.jpg,1,2,3,3,4,3,3,1
19547,/kaggle/input/fashion-product-images-small/images/19547.jpg,1,1,1,15,2,1,1,1
7964,/kaggle/input/fashion-product-images-small/images/7964.jpg,1,1,1,5,4,1,1,4
36934,/kaggle/input/fashion-product-images-small/images/36934.jpg,2,4,12,27,22,4,4,1
39140,/kaggle/input/fashion-product-images-small/images/39140.jpg,2,1,21,40,4,2,2,2
20851,/kaggle/input/fashion-product-images-small/images/20851.jpg,2,2,8,41,17,3,5,1
41866,/kaggle/input/fashion-product-images-small/images/41866.jpg,1,3,10,13,9,1,5,1
58177,/kaggle/input/fashion-product-images-small/images/58177.jpg,2,2,8,10,10,2,2,1
44528,/kaggle/input/fashion-product-images-small/images/44528.jpg,1,3,10,13,4,2,2,1
16392,/kaggle/input/fashion-product-images-small/images/16392.jpg,1,1,1,1,17,1,1,1
51455,/kaggle/input/fashion-product-images-small/images/51455.jpg,2,1,1,42,14,2,2,1
50587,/kaggle/input/fashion-product-images-small/images/50587.jpg,1,1,9,25,5,2,3,1
17240,/kaggle/input/fashion-product-images-small/images/17240.jpg,1,1,1,5,4,1,1,1
47530,/kaggle/input/fashion-product-images-small/images/47530.jpg,2,3,5,20,13,3,2,1
6617,/kaggle/input/fashion-product-images-small/images/6617.jpg,1,1,1,1,4,2,1,1
12732,/kaggle/input/fashion-product-images-small/images/12732.jpg,5,2,8,43,4,1,1,4
3365,/kaggle/input/fashion-product-images-small/images/3365.jpg,1,1,1,5,4,2,1,1
42042,/kaggle/input/fashion-product-images-small/images/42042.jpg,1,3,5,23,8,2,2,4
23849,/kaggle/input/fashion-product-images-small/images/23849.jpg,1,3,5,7,4,1,1,1
43190,/kaggle/input/fashion-product-images-small/images/43190.jpg,2,2,3,3,8,3,3,1
48578,/kaggle/input/fashion-product-images-small/images/48578.jpg,1,2,13,18,23,2,2,1
30462,/kaggle/input/fashion-product-images-small/images/30462.jpg,2,1,9,12,4,2,6,1
18208,/kaggle/input/fashion-product-images-small/images/18208.jpg,1,2,22,44,8,1,1,1
54127,/kaggle/input/fashion-product-images-small/images/54127.jpg,2,3,5,28,4,3,2,1
10065,/kaggle/input/fashion-product-images-small/images/10065.jpg,1,1,1,5,20,1,1,1
24250,/kaggle/input/fashion-product-images-small/images/24250.jpg,1,3,5,7,8,1,2,1
32335,/kaggle/input/fashion-product-images-small/images/32335.jpg,1,2,3,3,3,3,3,1
25382,/kaggle/input/fashion-product-images-small/images/25382.jpg,1,1,9,30,8,2,3,1
56670,/kaggle/input/fashion-product-images-small/images/56670.jpg,1,2,3,3,4,3,3,1
5092,/kaggle/input/fashion-product-images-small/images/5092.jpg,1,1,1,5,7,2,1,1
10859,/kaggle/input/fashion-product-images-small/images/10859.jpg,1,1,1,5,1,1,1,1
59638,/kaggle/input/fashion-product-images-small/images/59638.jpg,2,1,15,26,6,1,2,2
15517,/kaggle/input/fashion-product-images-small/images/15517.jpg,1,3,5,7,17,1,1,1
4140,/kaggle/input/fashion-product-images-small/images/4140.jpg,2,3,5,7,6,3,5,1
36795,/kaggle/input/fashion-product-images-small/images/36795.jpg,1,2,3,3,3,3,3,1
40527,/kaggle/input/fashion-product-images-small/images/40527.jpg,1,2,3,3,22,3,3,1
10257,/kaggle/input/fashion-product-images-small/images/10257.jpg,1,1,2,45,4,1,1,3
24062,/kaggle/input/fashion-product-images-small/images/24062.jpg,1,1,1,5,1,2,2,1
45869,/kaggle/input/fashion-product-images-small/images/45869.jpg,1,2,3,3,10,3,3,1
11385,/kaggle/input/fashion-product-images-small/images/11385.jpg,2,1,1,15,4,1,1,1
53130,/kaggle/input/fashion-product-images-small/images/53130.jpg,2,3,5,20,10,3,5,1
44187,/kaggle/input/fashion-product-images-small/images/44187.jpg,2,4,12,27,8,4,4,1
21510,/kaggle/input/fashion-product-images-small/images/21510.jpg,2,2,8,10,8,3,5,1
51667,/kaggle/input/fashion-product-images-small/images/51667.jpg,1,2,16,29,5,3,3,1
22395,/kaggle/input/fashion-product-images-small/images/22395.jpg,1,1,1,1,2,1,1,1
35322,/kaggle/input/fashion-product-images-small/images/35322.jpg,2,2,13,46,3,3,3,2
6425,/kaggle/input/fashion-product-images-small/images/6425.jpg,5,3,5,7,4,2,1,1
18806,/kaggle/input/fashion-product-images-small/images/18806.jpg,1,2,6,8,24,2,1,1
23247,/kaggle/input/fashion-product-images-small/images/23247.jpg,1,3,5,17,4,1,1,3
17072,/kaggle/input/fashion-product-images-small/images/17072.jpg,2,2,6,8,5,3,5,1
31782,/kaggle/input/fashion-product-images-small/images/31782.jpg,2,1,1,11,2,2,2,1
42270,/kaggle/input/fashion-product-images-small/images/42270.jpg,5,3,5,7,4,2,2,1
12500,/kaggle/input/fashion-product-images-small/images/12500.jpg,1,1,1,1,4,1,1,1
26735,/kaggle/input/fashion-product-images-small/images/26735.jpg,1,4,12,16,4,4,4,1
30650,/kaggle/input/fashion-product-images-small/images/30650.jpg,1,1,1,5,4,2,2,1
56026,/kaggle/input/fashion-product-images-small/images/56026.jpg,2,4,14,19,10,4,4,1
21948,/kaggle/input/fashion-product-images-small/images/21948.jpg,2,2,8,10,10,3,5,1
32563,/kaggle/input/fashion-product-images-small/images/32563.jpg,2,1,2,45,2,2,2,1
58980,/kaggle/input/fashion-product-images-small/images/58980.jpg,2,4,12,16,14,4,4,1
40143,/kaggle/input/fashion-product-images-small/images/40143.jpg,4,1,1,11,2,2,2,1
10633,/kaggle/input/fashion-product-images-small/images/10633.jpg,1,3,5,17,10,1,1,3
24406,/kaggle/input/fashion-product-images-small/images/24406.jpg,2,1,1,21,17,2,2,2
4716,/kaggle/input/fashion-product-images-small/images/4716.jpg,5,2,3,3,4,3,3,4
21174,/kaggle/input/fashion-product-images-small/images/21174.jpg,2,1,1,11,9,1,1,1
15341,/kaggle/input/fashion-product-images-small/images/15341.jpg,2,1,2,24,14,1,1,4
52486,/kaggle/input/fashion-product-images-small/images/52486.jpg,2,1,9,47,16,3,5,1
53554,/kaggle/input/fashion-product-images-small/images/53554.jpg,1,1,9,48,25,2,3,1
14293,/kaggle/input/fashion-product-images-small/images/14293.jpg,1,1,1,5,2,1,1,1
47366,/kaggle/input/fashion-product-images-small/images/47366.jpg,2,2,8,10,2,2,2,1
6041,/kaggle/input/fashion-product-images-small/images/6041.jpg,1,1,1,5,1,2,1,1
23623,/kaggle/input/fashion-product-images-small/images/23623.jpg,4,1,1,11,14,1,1,1
17416,/kaggle/input/fashion-product-images-small/images/17416.jpg,1,3,5,23,4,1,1,4
9835,/kaggle/input/fashion-product-images-small/images/9835.jpg,2,1,1,5,5,1,1,1
29319,/kaggle/input/fashion-product-images-small/images/29319.jpg,5,2,8,43,17,2,2,1
7193,/kaggle/input/fashion-product-images-small/images/7193.jpg,2,1,2,2,4,1,1,1
12958,/kaggle/input/fashion-product-images-small/images/12958.jpg,1,3,5,23,4,1,1,4
27283,/kaggle/input/fashion-product-images-small/images/27283.jpg,2,1,1,21,26,1,1,2
30234,/kaggle/input/fashion-product-images-small/images/30234.jpg,1,3,7,9,4,2,2,1
9009,/kaggle/input/fashion-product-images-small/images/9009.jpg,2,2,8,10,10,3,5,1
3533,/kaggle/input/fashion-product-images-small/images/3533.jpg,1,1,1,5,1,2,1,1
42614,/kaggle/input/fashion-product-images-small/images/42614.jpg,2,2,13,49,22,3,3,1
12164,/kaggle/input/fashion-product-images-small/images/12164.jpg,2,1,1,50,19,1,1,2
26351,/kaggle/input/fashion-product-images-small/images/26351.jpg,2,2,3,3,8,3,3,1
17624,/kaggle/input/fashion-product-images-small/images/17624.jpg,1,1,2,4,1,1,1,4
47154,/kaggle/input/fashion-product-images-small/images/47154.jpg,4,1,2,51,4,2,2,1
35574,/kaggle/input/fashion-product-images-small/images/35574.jpg,1,3,7,9,17,2,8,1
46086,/kaggle/input/fashion-product-images-small/images/46086.jpg,2,3,5,23,27,2,2,4
51031,/kaggle/input/fashion-product-images-small/images/51031.jpg,2,1,9,12,8,2,4,1
13284,/kaggle/input/fashion-product-images-small/images/13284.jpg,1,1,2,24,4,1,1,1
54543,/kaggle/input/fashion-product-images-small/images/54543.jpg,1,3,5,23,8,1,2,1
55491,/kaggle/input/fashion-product-images-small/images/55491.jpg,2,4,14,52,10,4,4,1
26163,/kaggle/input/fashion-product-images-small/images/26163.jpg,1,1,2,45,5,2,2,3
3701,/kaggle/input/fashion-product-images-small/images/3701.jpg,2,1,1,5,4,2,1,1
29917,/kaggle/input/fashion-product-images-small/images/29917.jpg,1,2,3,3,8,3,3,1
42426,/kaggle/input/fashion-product-images-small/images/42426.jpg,2,1,1,21,28,2,2,2
32751,/kaggle/input/fashion-product-images-small/images/32751.jpg,1,3,5,7,4,2,2,1
56214,/kaggle/input/fashion-product-images-small/images/56214.jpg,2,2,13,46,22,3,3,1
10401,/kaggle/input/fashion-product-images-small/images/10401.jpg,2,1,1,11,7,1,1,1
40371,/kaggle/input/fashion-product-images-small/images/40371.jpg,2,1,2,2,1,2,2,1
21346,/kaggle/input/fashion-product-images-small/images/21346.jpg,1,2,16,29,22,3,3,1
45603,/kaggle/input/fashion-product-images-small/images/45603.jpg,1,3,5,17,4,2,2,3
4524,/kaggle/input/fashion-product-images-small/images/4524.jpg,1,3,5,23,4,2,1,4
37223,/kaggle/input/fashion-product-images-small/images/37223.jpg,2,1,1,11,2,2,2,1
53766,/kaggle/input/fashion-product-images-small/images/53766.jpg,1,1,1,5,8,2,2,1
25520,/kaggle/input/fashion-product-images-small/images/25520.jpg,4,1,1,11,8,1,1,1
32597,/kaggle/input/fashion-product-images-small/images/32597.jpg,2,1,1,11,4,2,2,1
58974,/kaggle/input/fashion-product-images-small/images/58974.jpg,1,4,12,16,22,4,4,1
33445,/kaggle/input/fashion-product-images-small/images/33445.jpg,2,2,20,37,4,2,2,1
57100,/kaggle/input/fashion-product-images-small/images/57100.jpg,2,1,1,11,14,2,2,1
36137,/kaggle/input/fashion-product-images-small/images/36137.jpg,2,3,5,23,14,2,2,4
41859,/kaggle/input/fashion-product-images-small/images/41859.jpg,1,3,10,13,4,2,3,1
21180,/kaggle/input/fashion-product-images-small/images/21180.jpg,1,3,7,9,4,2,1,1
39943,/kaggle/input/fashion-product-images-small/images/39943.jpg,1,3,5,7,10,2,8,1
52472,/kaggle/input/fashion-product-images-small/images/52472.jpg,2,1,19,53,14,3,5,1
58148,/kaggle/input/fashion-product-images-small/images/58148.jpg,5,2,22,44,8,1,2,1
20052,/kaggle/input/fashion-product-images-small/images/20052.jpg,2,2,23,54,20,1,1,1
5630,/kaggle/input/fashion-product-images-small/images/5630.jpg,2,3,7,9,2,2,1,1
44517,/kaggle/input/fashion-product-images-small/images/44517.jpg,1,3,7,9,10,2,8,1
47392,/kaggle/input/fashion-product-images-small/images/47392.jpg,2,2,8,10,9,1,2,1
50325,/kaggle/input/fashion-product-images-small/images/50325.jpg,2,1,1,21,1,2,2,2
8913,/kaggle/input/fashion-product-images-small/images/8913.jpg,1,3,5,23,8,1,1,4
16530,/kaggle/input/fashion-product-images-small/images/16530.jpg,1,1,1,1,17,1,1,1
22705,/kaggle/input/fashion-product-images-small/images/22705.jpg,1,3,5,7,8,1,1,1
7167,/kaggle/input/fashion-product-images-small/images/7167.jpg,1,1,1,1,7,1,1,1
46240,/kaggle/input/fashion-product-images-small/images/46240.jpg,2,1,1,55,8,2,2,1
27277,/kaggle/input/fashion-product-images-small/images/27277.jpg,2,1,1,21,6,1,1,2
13042,/kaggle/input/fashion-product-images-small/images/13042.jpg,2,3,5,20,10,3,2,1
6889,/kaggle/input/fashion-product-images-small/images/6889.jpg,2,1,1,56,29,2,1,1
31312,/kaggle/input/fashion-product-images-small/images/31312.jpg,2,1,1,21,30,2,2,2
12190,/kaggle/input/fashion-product-images-small/images/12190.jpg,1,1,1,1,2,1,1,1
55657,/kaggle/input/fashion-product-images-small/images/55657.jpg,2,3,5,28,22,3,5,1
19578,/kaggle/input/fashion-product-images-small/images/19578.jpg,2,1,1,11,7,2,1,1
27879,/kaggle/input/fashion-product-images-small/images/27879.jpg,2,1,1,11,2,2,2,1
34452,/kaggle/input/fashion-product-images-small/images/34452.jpg,2,3,5,20,13,3,2,1
6287,/kaggle/input/fashion-product-images-small/images/6287.jpg,1,1,1,5,20,2,1,1
7355,/kaggle/input/fashion-product-images-small/images/7355.jpg,1,1,1,5,1,1,1,1
46072,/kaggle/input/fashion-product-images-small/images/46072.jpg,1,2,6,8,4,2,2,1
22537,/kaggle/input/fashion-product-images-small/images/22537.jpg,1,3,10,13,24,2,8,1
28831,/kaggle/input/fashion-product-images-small/images/28831.jpg,2,1,9,25,10,2,4,1
43500,/kaggle/input/fashion-product-images-small/images/43500.jpg,1,1,1,5,8,2,2,1
2627,/kaggle/input/fashion-product-images-small/images/2627.jpg,2,3,5,20,3,1,7,1
27045,/kaggle/input/fashion-product-images-small/images/27045.jpg,2,2,8,41,15,2,2,1
13270,/kaggle/input/fashion-product-images-small/images/13270.jpg,2,1,1,11,8,1,1,1
18698,/kaggle/input/fashion-product-images-small/images/18698.jpg,1,1,9,25,5,2,3,1
55465,/kaggle/input/fashion-product-images-small/images/55465.jpg,2,4,14,19,17,4,4,1
26197,/kaggle/input/fashion-product-images-small/images/26197.jpg,1,4,12,27,6,4,4,1
31120,/kaggle/input/fashion-product-images-small/images/31120.jpg,4,1,1,11,14,2,2,1
25712,/kaggle/input/fashion-product-images-small/images/25712.jpg,5,2,22,44,2,2,2,4
11527,/kaggle/input/fashion-product-images-small/images/11527.jpg,1,1,1,5,31,1,1,1
14869,/kaggle/input/fashion-product-images-small/images/14869.jpg,1,2,20,37,4,2,1,1
40385,/kaggle/input/fashion-product-images-small/images/40385.jpg,2,1,1,11,20,2,2,1
15187,/kaggle/input/fashion-product-images-small/images/15187.jpg,1,1,1,5,8,1,1,1
44725,/kaggle/input/fashion-product-images-small/images/44725.jpg,2,3,7,9,19,2,2,1
14055,/kaggle/input/fashion-product-images-small/images/14055.jpg,1,1,1,1,6,1,1,1
20260,/kaggle/input/fashion-product-images-small/images/20260.jpg,1,1,1,5,1,1,1,1
7731,/kaggle/input/fashion-product-images-small/images/7731.jpg,1,3,7,9,5,3,1,1
22153,/kaggle/input/fashion-product-images-small/images/22153.jpg,1,3,10,13,10,2,1,1
43958,/kaggle/input/fashion-product-images-small/images/43958.jpg,1,3,10,13,31,1,2,1
28469,/kaggle/input/fashion-product-images-small/images/28469.jpg,2,1,1,5,14,2,2,1
50573,/kaggle/input/fashion-product-images-small/images/50573.jpg,1,1,9,57,21,2,3,1
34036,/kaggle/input/fashion-product-images-small/images/34036.jpg,3,1,1,1,2,2,2,1
8779,/kaggle/input/fashion-product-images-small/images/8779.jpg,1,1,1,1,1,1,1,1
3391,/kaggle/input/fashion-product-images-small/images/3391.jpg,2,2,8,10,8,3,5,1
43164,/kaggle/input/fashion-product-images-small/images/43164.jpg,1,2,3,3,4,3,3,1
2243,/kaggle/input/fashion-product-images-small/images/2243.jpg,1,1,1,5,8,1,7,4
30496,/kaggle/input/fashion-product-images-small/images/30496.jpg,2,1,9,12,7,2,6,1
27421,/kaggle/input/fashion-product-images-small/images/27421.jpg,2,1,19,58,2,3,5,1
57756,/kaggle/input/fashion-product-images-small/images/57756.jpg,2,4,24,59,6,4,4,1
33213,/kaggle/input/fashion-product-images-small/images/33213.jpg,2,1,1,11,26,2,2,1
39729,/kaggle/input/fashion-product-images-small/images/39729.jpg,2,1,1,11,31,2,2,1
25376,/kaggle/input/fashion-product-images-small/images/25376.jpg,1,1,9,30,5,2,3,1
11143,/kaggle/input/fashion-product-images-small/images/11143.jpg,1,1,1,1,4,1,1,1
56684,/kaggle/input/fashion-product-images-small/images/56684.jpg,2,1,15,26,9,1,2,2
4988,/kaggle/input/fashion-product-images-small/images/4988.jpg,2,1,18,34,8,2,1,1
